filename,language_code,transcription
common_voice_fr_17834122.wav,fr,kinnekisia wos himisin oppestios
common_voice_fr_19770359.wav,fr,eloci projisca sawa hitela sharehodicalcriditional selian tican
common_voice_fr_20046206.wav,fr,dimopitina chesuis ar maxi
common_voice_fr_19727275.wav,fr,rebeting oditralolitosrony bular sajana
common_voice_fr_19647768.wav,fr,totale gonponito hes
common_voice_fr_17410294.wav,fr,in eve ballovag putkinzavi booko homati
common_voice_fr_20022454.wav,fr,made aculobrafooded on the pa fity oncla
common_voice_fr_19726782.wav,fr,heis a hasy atha tiatipacuaded o her in flo pomatirof inovilat explore
common_voice_fr_19489814.wav,fr,cacooar ben muse e ba neporia disole
common_voice_fr_17311074.wav,fr,a busy fugine romater be only disolivy arkimo
common_voice_fr_19333186.wav,fr, may on a the shet comesian te tin bori epiole
common_voice_fr_18143163.wav,fr,loboun aftman rewi geve dit whowopel in at nevosral fater mal dos tan cuor hor to gused
common_voice_fr_19658705.wav,fr,and pat of thistine onitened etcan tenuni pou ali
common_voice_fr_19816561.wav,fr,nalso recotitue in pety tunk ave sab ocuso
common_voice_fr_17388978.wav,fr,in beldan leastword in ascanimo
common_voice_fr_17331403.wav,fr,the pobelita mishi hosra pepl need rofsutmialamon noninabld wosls er some cat
common_voice_fr_18475462.wav,fr,ol bi ugalypicos is his expressol assent to keep jec or fonde tradeto the potosiara
common_voice_fr_19693051.wav,fr,landeth posset the colone unre e equolet dren buton eso
common_voice_fr_19120141.wav,fr,i is obelas rit expeticy orlic additional cavmen doniman
common_voice_fr_19987531.wav,fr,legopi doje allo creosy ou sedy
common_voice_fr_19442069.wav,fr,movico etentar pretgulitamaro
common_voice_fr_19593944.wav,fr,mota to cutedreguseponondis any
common_voice_fr_19909725.wav,fr,memori also filmed os apete isecomtalice
common_voice_fr_19600296.wav,fr,her pesite iminustial rocladaric sondurtacipalaya
common_voice_fr_19315180.wav,fr,the pes anemof fe eltidemitas a mortelogalias will lo
common_voice_fr_19992825.wav,fr,jeonshenbaski nengok itted ovision justor wikan of samer
common_voice_fr_19886533.wav,fr,sedanieafter daminodoncannoics tim bita something motasta
common_voice_fr_19657148.wav,fr,set the sreet itigan o editad onte sofoceve assola mong the
common_voice_fr_20038906.wav,fr,lacasi atelasi do gito hacino an motors
common_voice_fr_18968030.wav,fr,i pas utof hose onameissue e
common_voice_fr_19113631.wav,fr,an think am monicanasan de latadia or the song i del the toryal lucket
common_voice_fr_19637801.wav,fr,lat n di ede on inis of tidory distil dorics
common_voice_fr_18048129.wav,fr,it is recising to produn sevo more popopaticlalitionala collactic theontaby
common_voice_fr_19736541.wav,fr,natobly situe pred labdon west downsantodamsu
common_voice_fr_19457337.wav,fr,a a habpitosiony ammusic acoraget won ofmos taiso istemic
common_voice_fr_19257591.wav,fr,sedemanya neve demondera shenatamap seriontiv aveledus on phonjiapi
common_voice_fr_18758362.wav,fr,teho to ti recquorditory prigo you
common_voice_fr_19460306.wav,fr,jaladotidevenar aki no aneritr
common_voice_fr_19545584.wav,fr,rema demontonic tagistion portackic delog
common_voice_fr_19676183.wav,fr,soshif du i situous olacomon ibunim to amka
common_voice_fr_18815999.wav,fr,the e ari compastio
common_voice_fr_19625196.wav,fr,i sostalave nees with show so no famielate heart boocoeo anno
common_voice_fr_19702434.wav,fr,lemesol deserted he lemubi e elis iscump soistoly
common_voice_fr_18528100.wav,fr,tosual denis
common_voice_fr_17639150.wav,fr,dishe febro ab alammon wondiganimo asis was amone
common_voice_fr_19009813.wav,fr,millise inoraicamia econstitute us a cordadi dunogath
common_voice_fr_19878151.wav,fr,athe anser nerfle set no mias to have recraam novo to beplo
common_voice_fr_19758106.wav,fr,arshu didn't work ke evec compossible the sechaia
common_voice_fr_19460244.wav,fr,is tenicas wes som anmother quaniit at a can a congrerno afaga
common_voice_fr_19761937.wav,fr,nobitisolishingal occupitual apteenaltenama
common_voice_fr_19942537.wav,fr,she tal o peasic onsidearly commit to acgive peditima
common_voice_fr_18732380.wav,fr,pook was sipul e exist plusier factor ly biton sa tevilamon
common_voice_fr_17506255.wav,fr,it forvertiisdamm
common_voice_fr_19707547.wav,fr,sitdam a pafita isi podiginy le miconastium
common_voice_fr_18535459.wav,fr,they cooked the quuffiew ol of flor elow tenedofs hole
common_voice_fr_18049997.wav,fr,in lan deshid o a fol do iro
common_voice_fr_17334034.wav,fr,jenememderaamism
common_voice_fr_18640823.wav,fr,liza ti ashane colhibia beda arecodicso
common_voice_fr_17732361.wav,fr,ugaly citiraneus imendonia
common_voice_fr_19751182.wav,fr,tenoves wic notel facein son nasurated wineter intes on rol in enos
common_voice_fr_19307174.wav,fr,the samalias nethln defi angason
common_voice_fr_20013107.wav,fr,her nateba shol ex cam motondi attonyca ocrisos
common_voice_fr_19612358.wav,fr,tu disie ocy bey of honsan ustanashamonde topin ef the nits but he
common_voice_fr_18898903.wav,fr,gemnos ama mad menamen pa 
common_voice_fr_19771933.wav,fr,swom apartticology cat umpoftones
common_voice_fr_17846918.wav,fr,labaga mstu jiahav shot un shotineal amamonmo set
common_voice_fr_19719176.wav,fr,a simosis ofsecor ona ese sare to mateta
common_voice_fr_18095847.wav,fr,finsevo dis at tudns of osicalgifimless
common_voice_fr_19675526.wav,fr,lhat doc tin mat caris possony sa only be
common_voice_fr_19153199.wav,fr,apam ida homachi don't could fen is spectacaritity
common_voice_fr_18035730.wav,fr,appo is most optento bonjebo as asat n a plapardamisujec commend
common_voice_fr_20038279.wav,fr,lakistum desemver evanyagully it attylama poftons poroguon eno evanium
common_voice_fr_17789385.wav,fr,loscular felidiscuted patag lebe iveni
common_voice_fr_19425603.wav,fr,sea crasiamon decapumon
common_voice_fr_17722739.wav,fr,re didoctaf itendi at toduse
common_voice_fr_18052601.wav,fr,wit situl o to other ist
common_voice_fr_18440401.wav,fr,lof am lucominia per
common_voice_fr_19819010.wav,fr,lefriol dimecaly at do spectedo
common_voice_fr_19675451.wav,fr,lotali abstay i dalar ala sus delaginas you
common_voice_fr_20003538.wav,fr,ter gonaze ha betis inde mo nosh
common_voice_fr_19603533.wav,fr,sendalos wone perfay man ataity pisti evegetm
common_voice_fr_18892981.wav,fr,ave savwor ondelivo
common_voice_fr_19617131.wav,fr,cunel fie ofian cisies of the pape sibemondicito hemichea
common_voice_fr_18976400.wav,fr,citry sot wile or besont of fa deeple see paleminat
common_voice_fr_19594174.wav,fr,resetdon ilaogua lu jeto or icunen
common_voice_fr_18458215.wav,fr,se moperia wor
common_voice_fr_19651862.wav,fr,lessosated unas i cenas yeaf isly and pleas def
common_voice_fr_19112918.wav,fr,the it nos of apamasecuovistial somethingat mosmi as his obidetion vectionan
common_voice_fr_17788001.wav,fr,on setainly tirl emit ono
common_voice_fr_17311168.wav,fr,a lo fantewa araega terefor
common_voice_fr_19964464.wav,fr,comery texting existe pre on ogonera notypuition
common_voice_fr_19681461.wav,fr,som shef urie nika
common_voice_fr_19225294.wav,fr,he give risibl a my hales on togetno moshonly omainaso
common_voice_fr_18751123.wav,fr,subyie to noto pesitsor
common_voice_fr_19255268.wav,fr,he war is apl sity boetry  ecani ac for
common_voice_fr_19710062.wav,fr,a samer some fisingagialavineste recick said that a tet to dedenin beg
common_voice_fr_19702799.wav,fr,pery a saofa don avaleg pot ono
common_voice_fr_19598524.wav,fr,i recegan moneraprasy
common_voice_fr_19740121.wav,fr,istil achedictuhal remanister etalaquasiti still homo an goodteps
common_voice_fr_18065249.wav,fr,an atabo itemssiu deneboper
common_voice_fr_18054506.wav,fr,crudi udit shiy
common_voice_fr_19982201.wav,fr,gumby oenia dukia oncajoni
common_voice_fr_19044143.wav,fr,relac compottodager at you of so sol
common_voice_fr_19625859.wav,fr,sompir hava dotar muns asume is amere of ficeventis som
common_voice_fr_18047301.wav,fr,a gusiala tolte agamore apperful tay and rfit
common_voice_fr_19753175.wav,fr,as to hapof i cacusan de fenomen tolycustan the ninimasrom
common_voice_fr_19433709.wav,fr,sat is the fady ciditapo this ronic pris cood
common_voice_fr_18786318.wav,fr,priscus heftos on phounded an assum invocets ume a diveneel the colao do syna
common_voice_fr_19702220.wav,fr,set apparlere shamanepliquovia bais
common_voice_fr_19734159.wav,fr,du pis is wet fail es is em parti anobiti bol inem
common_voice_fr_19753093.wav,fr,valu she to shof tininus it the mat newvideo
common_voice_fr_17896877.wav,fr,napovohi rebidisue y bety diriani melimiter
common_voice_fr_19735269.wav,fr,dead it ela tela dusem disims fonders
common_voice_fr_19621405.wav,fr,she smark ie desimpiconstaton as proughtivel ony har vidisin
common_voice_fr_19585355.wav,fr,ritutu it atececus resola basusesutyte
common_voice_fr_19382851.wav,fr,apcelabetal anot hol sonari is weni simisier
common_voice_fr_17360756.wav,fr,itea
common_voice_fr_19182207.wav,fr,si thispice it ondemiko de litter the s cerito some to over ila
common_voice_fr_19654020.wav,fr,legani to ileglas ses a very missile soboco pusit du itemanones
common_voice_fr_19157984.wav,fr,anacapistibeca dy supfor seven popen de vecen
common_voice_fr_19172356.wav,fr,blevo reers far hos hixtrams also on deomles londef formins rol ti on
common_voice_fr_19716183.wav,fr,the crenegi dirashu honogh in a cricical
common_voice_fr_17360767.wav,fr,commegiviler
common_voice_fr_19607098.wav,fr,elownso in the deta oniraly palachy dect of hom meni pawers nat
common_voice_fr_19876290.wav,fr,telectualificile iladonitiu at e conel was atapetation
common_voice_fr_18219613.wav,fr,gemeunbly
common_voice_fr_19388612.wav,fr,i coneded to naston of motas stondyvorume dacavit mirevig dulu
common_voice_fr_19383464.wav,fr,in family ta vama i opihad crose to fisol far forhor o covelofar
common_voice_fr_17900672.wav,fr,is even and puto laconigan
common_voice_fr_19274920.wav,fr,setomushosna saitto dices ustraia locisa carl adigarini hesm
common_voice_fr_18938270.wav,fr,bit suxcide tre arita lositaposhe ato gaiam zika
common_voice_fr_17445834.wav,fr,vowoved covi
common_voice_fr_19671826.wav,fr,elena band is snas nabili eachan aluke
common_voice_fr_18099416.wav,fr,urgene evakov uas secuchy
common_voice_fr_19732671.wav,fr,joana suvern galmugan ipacis pene that i dis morin
common_voice_fr_19732169.wav,fr,in matifi ce ery pepat stim shole holl pa an a horpaso lutan
common_voice_fr_19555988.wav,fr,renoty use nagali predigili hundit down ini
common_voice_fr_19608528.wav,fr,yo otry more ante tre tafta avey book
common_voice_fr_19691159.wav,fr,dolove locasto hohopael itef am wul be is seppepurational codevelanvits
common_voice_fr_19958382.wav,fr,minpepin onfoned tigarge bat shakes ta imished bin e witliver
common_voice_fr_17913168.wav,fr,gitin foodon on amy rigimet in the victoma i sancitred
common_voice_fr_20011141.wav,fr,this orto sodi ocategoyda
common_voice_fr_18684235.wav,fr,yunepase sitone voneity da ne
common_voice_fr_18742854.wav,fr,to chessigewa sefar
common_voice_fr_20031089.wav,fr,sibondalse ani salla or the tea be toed evelemon
common_voice_fr_19557991.wav,fr,two twelt nosentedin af ew in a poovi te desan huscoture lemit leffigesita reper
common_voice_fr_19750302.wav,fr,theno the se werversuly loo sue last me o preallae
common_voice_fr_17755272.wav,fr,the wor onyfit waseve the retoie ectionis
common_voice_fr_19657911.wav,fr,tha sip piitors not wen digies
common_voice_fr_19063228.wav,fr,thispa on of vel comtle rossedi poa tosisiemenas
common_voice_fr_19994489.wav,fr,liquman sompros ot the
common_voice_fr_19536186.wav,fr,the pinophas to nowos in mond woa veritabrecut tolagesic
common_voice_fr_17976104.wav,fr,but shala lafur eduloida
common_voice_fr_19688774.wav,fr,the college short is inate ana cletins
common_voice_fr_18658478.wav,fr,asxini to sumol
common_voice_fr_18337053.wav,fr,lapao itamadem wegitala podicene
common_voice_fr_19649593.wav,fr,subprisos i donceptin shore mon open
common_voice_fr_19327361.wav,fr,and it tactur more upomof
common_voice_fr_19249829.wav,fr,the earna far inidelytinfor ehama cuch is on a istanmon for ner indu
common_voice_fr_19406593.wav,fr,ateformi gaalregis tolsed aremy a the resposs
common_voice_fr_17975326.wav,fr,ple deal with hetin it loo tompseas meso sungoity
common_voice_fr_19764124.wav,fr,i is sebegeroconson mev a depen for e apa
common_voice_fr_17326079.wav,fr,adebodna
common_voice_fr_17809745.wav,fr,the dicof lonery
common_voice_fr_19332291.wav,fr,in lotiallame di lalises tons forcels a titap postume
common_voice_fr_18366489.wav,fr,clebless the messigis zoset suhart blebob
common_voice_fr_18642798.wav,fr,sucrup civigent aben
common_voice_fr_19675851.wav,fr,secumemolas shon so bonke cemer acoodatestiantipicmoteve presexact to mosidin
common_voice_fr_19296030.wav,fr,lacisco greenan wetu inaar no peson tod pos i careride connet hopin tha toca
common_voice_fr_19966503.wav,fr,ushifew itely to dikib
common_voice_fr_19023858.wav,fr,the toner sificreal pen wood stedu
common_voice_fr_18305294.wav,fr,miltedes lok an a a protutal sonetol
common_voice_fr_19265614.wav,fr,book edan offer hinhook ques
common_voice_fr_18087214.wav,fr,a he crud bush ori mebovan kat
common_voice_fr_18993944.wav,fr, tilli ocorswet ana counter mot on e
common_voice_fr_19600359.wav,fr,outogianiamalony for edeconisiar
common_voice_fr_19755575.wav,fr,sesia vixasuno gohonariosrolidive lapmode anicolugiositesi
common_voice_fr_19768112.wav,fr,regisasin or ropady maca
common_voice_fr_18478420.wav,fr,lofber
common_voice_fr_19622423.wav,fr,the fluision alu de dun asceptom
common_voice_fr_19628353.wav,fr,nisiomahambiniqi ciunonevet concipsam avidacoshe itin pregon discustron atwistige
common_voice_fr_19696206.wav,fr,infur wisecha londe lekated aldes avile
common_voice_fr_19898677.wav,fr,lopantol conspality gill be con sho sad es teba aley atanaso
common_voice_fr_19713663.wav,fr,suprondoisituoes an fies jalemoltanus
common_voice_fr_18337747.wav,fr,poffinetol the far said intleasima druvh pictipil
common_voice_fr_18754750.wav,fr,shuparsa
common_voice_fr_19701703.wav,fr,she cankeed hospalo be stod esti itecamahabach
common_voice_fr_19655117.wav,fr,elen eponioni suta tula orisonle notice e cofly
common_voice_fr_20038874.wav,fr,leta sent sel seta poiteculaniticature
common_voice_fr_18044359.wav,fr,alite eforntend vireda his ven twor to son des mov uvivine
common_voice_fr_19579774.wav,fr,wocalwork jumsa cotate are repered tin than to the oposh
common_voice_fr_19358367.wav,fr,i know a presol de bar in a hollu vi roop law witid wot do mersao
common_voice_fr_19693679.wav,fr,a little publem is scrovy balavra tegojeva belabas ducrochi
common_voice_fr_18126043.wav,fr,amul povofom contrimie
common_voice_fr_19601991.wav,fr,to do the yeas of preser foid christi conditional oshawwingy
common_voice_fr_18917440.wav,fr,noscial mesis catriar outtum bad acov
common_voice_fr_17768158.wav,fr,sid the commont no
common_voice_fr_19867577.wav,fr,leseri conter o nemher anpresonaly does olash
common_voice_fr_18059767.wav,fr,wol set of hism jeninay dif evo habich over tromonmo
common_voice_fr_19633601.wav,fr,sensial venisa eliuigo nugo dejaze zelonlizas
common_voice_fr_18812147.wav,fr,e it se dacklys doni discreek
common_voice_fr_19739239.wav,fr,sizilohodief is capi som in abity
common_voice_fr_19603145.wav,fr,som cressibo cod in a su ac
common_voice_fr_19739675.wav,fr,mobrough the party trecedimmutil turus
common_voice_fr_17744528.wav,fr,mipiski ruladoni sresiphas ati
common_voice_fr_17676634.wav,fr,dhecado govanimo pov is wa baly
common_voice_fr_19953364.wav,fr,as sederev b reconoaical otance infortationitu tigavion fans
common_voice_fr_19634171.wav,fr,hinicil e besible din ardanetrlyar longs are cononk
common_voice_fr_20018339.wav,fr,e wea beset fars ala corme ladanapocas
common_voice_fr_19622711.wav,fr,latto continira mahinaly bolayevaya be selation
common_voice_fr_19434182.wav,fr,it repolt rabnati bested to terrate tru to the somolia
common_voice_fr_19171323.wav,fr,it was insingel itin ho crise rocrode as ita paaar cookopusitalderelbam
common_voice_fr_19615629.wav,fr,tha supris song pa ded a mont cocri tat lic song neiarila
common_voice_fr_19707272.wav,fr,at afic acaier was itasen
common_voice_fr_19738231.wav,fr,akiddonisti sup two the toncal more wil tachnitiskip
common_voice_fr_19383688.wav,fr,the coloi reris dis desol ser coroni a cred bedu lash agicor
common_voice_fr_19754975.wav,fr,an excelgion faire musta fagosin utiforatu ovalely akin
common_voice_fr_18846051.wav,fr,ilapo qua ilocomam
common_voice_fr_18750340.wav,fr,javi fit a colerin one men
common_voice_fr_17323730.wav,fr,hi sasitanamountable ad ectionary
common_voice_fr_19544595.wav,fr,te man looke the hos oporkin morced o movea
common_voice_fr_18506136.wav,fr,fisial nastal suvont huntergan
common_voice_fr_18989459.wav,fr,an berte liv cugu a undan concrerer bec
common_voice_fr_17463625.wav,fr,lak a scounted
common_voice_fr_18458159.wav,fr,to tedently thery dodal there ad te neesom
common_voice_fr_19245609.wav,fr,elittle seet them the gass repriviny abli orthough the sagion
common_voice_fr_19602469.wav,fr,vessal did e soly yelar frils the fadalish west tho qutu acov
common_voice_fr_17724290.wav,fr,in tovell effect to said
common_voice_fr_18811413.wav,fr,pie lizaticu ela
common_voice_fr_17867326.wav,fr,tokis it feed meagepication complex comanto velbaesompy
common_voice_fr_19470748.wav,fr,ne seehos sadon the cet resilum
common_voice_fr_19576934.wav,fr,si sunday petis alma wilh dis ongrys contini de medigasca
common_voice_fr_18300592.wav,fr,vermuny favor tigets reter repalowewar condiskitmotio
common_voice_fr_20001560.wav,fr,fonecolt a bedon togilphilla sugornvideb
common_voice_fr_19686117.wav,fr,set as pacic ponthe miekete beamans
common_voice_fr_19764401.wav,fr,jitypon osahacat as istangi president repanamarican airwaes
common_voice_fr_18019736.wav,fr,squarl durev mava godris swess ontivil do sone conteni
common_voice_fr_19794181.wav,fr,a peiligeamoie evont is sugonit tree jestad solalo moni
common_voice_fr_19656342.wav,fr,simit fonamatia s orbon shouteled mifum wit a wito yer indestef doing
common_voice_fr_19554805.wav,fr,ta battly deyan mo crason adteta as winishka a whichbor
common_voice_fr_19257702.wav,fr,lomadan to set coth thruk plande sham a samplu at homes hell
common_voice_fr_19760897.wav,fr,wormal cobacoman quasium privs a hold irodad
common_voice_fr_20038355.wav,fr,tholdid coten te mid poeso teigolmai
common_voice_fr_17862333.wav,fr,setovel fitovacquijo
common_voice_fr_19651052.wav,fr,this onpesile of your fil were tan bal 
common_voice_fr_19712274.wav,fr,of nell in terming catelum the raggin ens imide
common_voice_fr_19686590.wav,fr,nethe evrisitocifitition tetatl
common_voice_fr_19702297.wav,fr,sitori ataciala wheisha to os
common_voice_fr_18173559.wav,fr,visza filho penagna shebut holee
common_voice_fr_19766572.wav,fr,le presuaan intretevinien cotectoalacoan poroness potectula formen
common_voice_fr_19823149.wav,fr,megalegistals wretovor egipoftis inmistran
common_voice_fr_19537656.wav,fr,as ron cod hodonadis a ew cao
common_voice_fr_17861360.wav,fr,tthe ban okindonishi finerstifecedmentificate sonegisativs widen
common_voice_fr_17886528.wav,fr,we mak consider this talk sent so atuet to rovar
common_voice_fr_19690290.wav,fr,when a sistan fisgenal apped disacongy wos son recause honse
common_voice_fr_18930781.wav,fr,e sas e decirged e lais sosa miity halmonde cecuviana to to lijar nog badkali
common_voice_fr_19182769.wav,fr,the pelestial move wusha poyanrade liocution moe anahanjon sinsho agredema
common_voice_fr_19752918.wav,fr,a layted a covert ald the pond a mole por tam ly to poligere
common_voice_fr_19298361.wav,fr,condor outejertanalare tanilepress moleraga
common_voice_fr_19972510.wav,fr,lallitahad shop ole ya it to sitraration poisidecila chunk
common_voice_fr_19793454.wav,fr,to thear be yame segner
common_voice_fr_17303234.wav,fr,sicuvill nemoise at measority popeant selit laris consereatedisi tration
common_voice_fr_19529456.wav,fr,leatal feterinegoseter de setligasto
common_voice_fr_19004968.wav,fr,in no somchiliole
common_voice_fr_19824951.wav,fr,it edim it aprelvy bony vigdolonga
common_voice_fr_17424836.wav,fr,relelot
common_voice_fr_19508733.wav,fr,recoredorman and west napi sitdan tocuaca
common_voice_fr_19629054.wav,fr,septin to rellis ta cu are opebae soe doveman
common_voice_fr_19987000.wav,fr,nukophi divinashelalen apotte devonococy deta
common_voice_fr_19338937.wav,fr,jocabun pipati durecked dimided to dose
common_voice_fr_17919371.wav,fr,reso maricoa capl i getols men that no do so astet her dimei wen the er
common_voice_fr_19810021.wav,fr,malise i we gen boco through over fossio
common_voice_fr_19962474.wav,fr,uncle infor flecel massidererabian edaptalens
common_voice_fr_19517581.wav,fr,wi sad he gein ocatti the hil degusis te toa sep legonlygo
common_voice_fr_20004959.wav,fr,the ise distine adte selfier retucted te lani wo movedinlo
common_voice_fr_18445132.wav,fr,that dat
common_voice_fr_19877369.wav,fr,spoty moniclibnaie hepe is hycontruth
common_voice_fr_19619473.wav,fr,o no westien shende perti cutalle
common_voice_fr_19774534.wav,fr,itocupe sord rele ol tequntian tostative poritiv isium
common_voice_fr_18906918.wav,fr,communuted her nafeliareficial ecamawis
common_voice_fr_20017916.wav,fr,tunder men dich onom wasa the tede arriginalus at despash
common_voice_fr_19774542.wav,fr,nhe armotion shifto siturees on volie
common_voice_fr_19964291.wav,fr,it it ofo do concummotality and the tremusa tesamic sentruges
common_voice_fr_19861254.wav,fr,lapasipansovoda huos ela povas do lacodo nibeiteeg
common_voice_fr_19662394.wav,fr,suplom cinadispositio macabrity for isismit
common_voice_fr_19118669.wav,fr,theli shortes amendl
common_voice_fr_17313657.wav,fr,george wint two teffisicageaminiswashoderpon
common_voice_fr_19656677.wav,fr,anigret iden or aroa o pa to yogo pop to dogs
common_voice_fr_19606482.wav,fr,gomoserictom wich serd i deteroho prearicablo for podictor bu jonston
common_voice_fr_18517545.wav,fr,anoan il for the compey
common_voice_fr_19642748.wav,fr,for som could lepsed tor las tetud e sant maitolay
common_voice_fr_19477031.wav,fr,a laconi an consiccy as civil ara
common_voice_fr_18462892.wav,fr,wat har forhibishor
common_voice_fr_19602019.wav,fr,ated and selling brete is who worowishin the melay doision inte op
common_voice_fr_19649173.wav,fr,elimaaloso rathe ocest of glass jorged metis
common_voice_fr_19182194.wav,fr,the penadi ononerocassy replec imatic rlation maconec insilla resiom
common_voice_fr_19728430.wav,fr,set rosible nemon tad eleptric febrities intiauk shot non ovitastionaly
common_voice_fr_18988333.wav,fr,noth be asituona istodenotau cledicedber
common_voice_fr_17986849.wav,fr,on anthony hudemato detacishi
common_voice_fr_19176803.wav,fr,heu undosia se replemacic toealafhic weronkofonaccidy a set fronction
common_voice_fr_17358869.wav,fr,ited te provise
common_voice_fr_19619361.wav,fr,slosar ism lacomina bartel bawamva
common_voice_fr_19730348.wav,fr,lilys thanside will ave on a cust fron the popypritig
common_voice_fr_19025096.wav,fr,ti ad the prar comnogo efamation ton domy
common_voice_fr_19673884.wav,fr,me decoming a te for mos imonastial dubes sonsitaaboter eis
common_voice_fr_19989913.wav,fr,haiensinarov avecamisol disk tactor ricords
common_voice_fr_18883843.wav,fr,osivecorespusiniritfe
common_voice_fr_19949263.wav,fr,fomacet on a kina elatons an u nowest derafegsd
common_voice_fr_19991369.wav,fr,lariseve natsodel a craftly coptic
common_voice_fr_19681076.wav,fr,gee homoded to a wimemhary zaly pizaled pillot
common_voice_fr_19999248.wav,fr,the shif u caza elavu dumemno ali
common_voice_fr_18464318.wav,fr,lettian
common_voice_fr_19954499.wav,fr,missiontolergula virocity nive waimity
common_voice_fr_19943601.wav,fr,a ly rearis a as the cirld an a catiha te sens bily
common_voice_fr_19680557.wav,fr,etina priviia gudondijalo
common_voice_fr_19703938.wav,fr,es ugenial modonusual effiltional degelitis
common_voice_fr_18142135.wav,fr,the supom rusic lai oftitu on her colme
common_voice_fr_18268528.wav,fr,littlke appofton to motarim willian exthodelas pection be camal
common_voice_fr_17320172.wav,fr,wut ol to be re hop life hys scaried that do
common_voice_fr_19628075.wav,fr,a vecam pona
common_voice_fr_19344241.wav,fr,sidgonscirmoto pas idafta gotama a vaso liminasio
common_voice_fr_19727369.wav,fr,aoseldijafed desa a low for the young crasional i confer
common_voice_fr_19796386.wav,fr,navelita olto doors is fa
common_voice_fr_19188040.wav,fr,secatetatanegicipinitien tiffica tami a wat buck to soty duglassom
common_voice_fr_17976167.wav,fr,jurney ponerab wold aboter
common_voice_fr_18549085.wav,fr,on the patso of a consonitan 
common_voice_fr_19718420.wav,fr,elaponafamilicas from the murburs iligate ah din apani
common_voice_fr_17582030.wav,fr,i divitta wol gustim the pampar ia pacy
common_voice_fr_19475335.wav,fr,ben there is go it may up evendusen idisto the laponian derision and mot
common_voice_fr_18961565.wav,fr,elelibaramea plefit show salis delish toa dicontondifewo
common_voice_fr_18019944.wav,fr,similar gif histoget to
common_voice_fr_17316571.wav,fr,iso izia eshera clisiom
common_voice_fr_19537855.wav,fr,offer in seviced devoku do theserved hocarhitaty
common_voice_fr_18735677.wav,fr,is aboetol
common_voice_fr_17430039.wav,fr,alanin detect
common_voice_fr_17458711.wav,fr,pagond
common_voice_fr_19603728.wav,fr,socisicasy ofzina havacingobes et
common_voice_fr_18432807.wav,fr,in n the demon toc
common_voice_fr_20044137.wav,fr,bus he to har herpay iretooi oppriso potisestium
common_voice_fr_19737955.wav,fr,lende prohappon e iletena sinovit at the decahaba
common_voice_fr_19400334.wav,fr,youolso moder the cosi efidival jevar op corme a shutfor
common_voice_fr_18693629.wav,fr,poacpiseptonon pelene bodish
common_voice_fr_19991665.wav,fr,mariaga ial law ma yone renaolitad
common_voice_fr_19916508.wav,fr,de to su inison vishothe flor the back
common_voice_fr_19351530.wav,fr,actervesy polished to are the zarmies optip alup and o shuldaan muslam prt
common_voice_fr_19601344.wav,fr,aventigab thi simutivitic amad itigo banisy ofimodifs
common_voice_fr_19182427.wav,fr,the orbrought equanici of two proside herpofrom
common_voice_fr_19692715.wav,fr,non ti ya he cadri bawesen
common_voice_fr_19618067.wav,fr,thegonovogism tireresert tressent of yearshar ear i dete consetrate pafsepa
common_voice_fr_19170858.wav,fr,the lecosal hi usi wilyol de gosa dove
